mturk,private,lon,ses,round,gameperiod,group,type,subject,payperiod,paygame,k,urn,q1,q2,q3,q4,guess,guess2,orange,rt,rt2,unique
0,0,0,171010_1149,1,1,1,1,3,21,1,.050432529,1,2,3,1,2,.25,,1,12,,1003
0,0,0,171010_1149,1,1,1,2,5,7,2,.34699857,1,2,3,1,1,.5,,1,-34,,1005
0,0,0,171010_1149,1,1,1,3,14,28,2,.88447332,1,2,3,1,2,.28,,1,-62,,1014
0,0,0,171010_1149,1,1,2,1,13,5,5,.11806634,2,2,3,1,2,1,,0,6,,1013
0,0,0,171010_1149,1,1,2,2,2,2,5,.34276125,2,2,3,1,2,0,,0,5,,1002
0,0,0,171010_1149,1,1,2,3,7,27,3,.34091839,2,2,3,1,2,.5,,0,-91,,1007
0,0,0,171010_1149,1,1,3,1,16,13,4,.99454165,2,2,3,1,1,.47999999,,0,-5,,1016
0,0,0,171010_1149,1,1,3,2,10,19,2,.01061463,2,2,3,1,1,.2,,0,-47,,1010
0,0,0,171010_1149,1,1,3,3,8,13,2,.98318744,2,3,3,1,2,.30000001,,0,-22,,1008
0,0,0,171010_1149,1,1,4,1,6,8,2,.54433078,1,2,3,1,1,.60000002,,1,-5,,1006
0,0,0,171010_1149,1,1,4,2,12,13,1,.23069778,1,3,3,1,1,.02,,1,-4,,1012
0,0,0,171010_1149,1,1,4,3,4,17,5,.57267815,1,2,3,1,2,0,,1,-52,,1004
0,0,0,171010_1149,1,1,5,1,11,17,5,.32637706,1,2,3,1,2,.5,,1,11,,1011
0,0,0,171010_1149,1,1,5,2,9,15,2,.91650194,1,2,3,1,1,.050000001,,1,-14,,1009
0,0,0,171010_1149,1,1,5,3,15,7,1,.81517345,1,3,3,3,2,.81,,1,-13,,1015
0,0,0,171010_1149,1,2,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,-13,,1003
0,0,0,171010_1149,1,2,1,2,5,7,2,.34699857,1,,,,,1,,1,11,,1005
0,0,0,171010_1149,1,2,1,3,14,28,2,.88447332,1,,,,,.18000001,,1,11,,1014
0,0,0,171010_1149,1,2,2,1,13,5,5,.11806634,2,,,,,1,,0,7,,1013
0,0,0,171010_1149,1,2,2,2,2,2,5,.34276125,2,,,,,0,,0,-8,,1002
0,0,0,171010_1149,1,2,2,3,7,27,3,.34091839,2,,,,,.2,,0,9,,1007
0,0,0,171010_1149,1,2,3,1,16,13,4,.99454165,2,,,,,.44,,1,10,,1016
0,0,0,171010_1149,1,2,3,2,10,19,2,.01061463,2,,,,,.80000001,,1,-4,,1010
0,0,0,171010_1149,1,2,3,3,8,13,2,.98318744,2,,,,,.89999998,,1,13,,1008
0,0,0,171010_1149,1,2,4,1,6,8,2,.54433078,1,,,,,0,,1,-74,,1006
0,0,0,171010_1149,1,2,4,2,12,13,1,.23069778,1,,,,,.029999999,,1,-27,,1012
